"student_id","school_id","class_id","region","school_type","class_size","school_resources","class_climate_mean","age","grade","gender","ses","parent_edu","books_home","language_home","migration_background","special_education_support","gpa_t1","gpa_t2","gpa_t3","math_grade_t1","language_grade_t1","absences_t1","absences_t2","absences_t3","study_hours","screen_time","homework_completion","teacher_rating_effort","se1_t1","se2_t1","se3_t1","se4_t1","se5_t1","se1_t2","se2_t2","se3_t2","se4_t2","se5_t2","se1_t3","se2_t3","se3_t3","se4_t3","se5_t3","anx1_t1","anx2_t1","anx3_t1","anx4_t1","anx5_t1","anx6_t1","anx1_t2","anx2_t2","anx3_t2","anx4_t2","anx5_t2","anx6_t2","anx1_t3","anx2_t3","anx3_t3","anx4_t3","anx5_t3","anx6_t3","bel1_t1","bel2_t1","bel3_t1","bel4_t1","bel5_t1","bel1_t2","bel2_t2","bel3_t2","bel4_t2","bel5_t2","bel1_t3","bel2_t3","bel3_t3","bel4_t3","bel5_t3","mast1_t1","mast2_t1","mast3_t1","mast4_t1","mast5_t1","ts1_t1","ts2_t1","ts3_t1","ts4_t1","ts5_t1","abil1","abil2","abil3","abil4","abil5","abil6","abil7","abil8","abil9","abil10","abil11","abil12","att_acc","att_rt_inv","att_inhibit","att_switch","missing_any_t1","missing_any_t2","missing_any_t3","dropout_t2","dropout_t3","planned_missing_form"
200,"S03","C010","South","general",22,1.266,-0.086,17.9,12,"boy",-0.159,4,3,"majority_language",0,0,6.7,7,,6.4,6.5,4,14,,8,6.4,2,55,3,4,3,4,2,5,5,5,,4,,,,,,,3,5,3,2,1,3,2,4,3,4,3,,,,,,,2,4,1,2,2,2,,2,3,4,,,,,,5,5,5,4,3,3,4,2,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0.849,-0.583,50.4,60,1,1,1,0,1,"A"
201,"S03","C010","South","general",22,1.266,-0.086,17,12,"girl",0.42,3,2,"majority_language",0,0,5.9,6.3,,7.2,6.8,9,4,,4.9,1.2,1,41.7,4,3,2,5,4,5,4,2,3,3,,,,,,3,2,4,3,4,5,3,3,4,3,,2,,,,,,,3,3,1,2,2,2,1,2,2,2,,,,,,3,3,4,4,4,2,2,2,3,1,1,0,0,0,1,0,0,1,0,1,1,0,0.845,-0.22,43.1,52.3,0,1,1,0,1,"A"
202,"S03","C011","South","general",26,1.266,0.886,15.6,10,"boy",1.081,5,5,"majority_language",1,0,8.1,8,7.6,8.1,7.5,2,2,2,5.2,3,2,52.3,4,4,4,4,5,5,4,5,5,4,5,5,2,5,5,3,,1,1,2,2,1,2,1,,,,1,3,1,1,1,2,1,3,4,,3,4,3,4,3,3,4,4,4,,,5,5,5,5,5,5,5,5,3,4,1,1,1,0,0,1,0,1,0,0,1,1,0.725,0.315,44.8,45.7,1,1,1,0,0,"B"
203,"S03","C011","South","general",26,1.266,0.886,16,10,"girl",0.87,5,3,"majority_language",0,0,7.8,7.1,8.1,8.6,7.1,1,0,0,8.4,3.2,4,66.1,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,1,1,1,2,1,1,,1,1,1,1,2,2,1,1,1,1,1,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,,5,4,5,1,1,,0,1,0,1,0,0,1,0,0,0.935,1.458,72.2,75,1,1,0,0,0,"A"
204,"S03","C011","South","general",26,1.266,0.886,15.3,10,"boy",1.121,4,5,"majority_language",0,0,7.5,7.9,,7.9,7,2,2,,8.3,2.1,5,56,4,5,5,5,5,5,5,5,5,5,,,,,,3,2,2,3,2,1,5,1,,,,,,,,,,,2,,3,3,2,2,4,,4,3,,,,,,5,5,5,5,5,4,5,4,4,5,1,1,1,1,1,0,0,1,0,,,0,0.787,0.829,50.1,67.4,1,1,1,0,1,"B"
205,"S03","C011","South","general",26,1.266,0.886,15.5,10,"girl",0.621,3,4,"majority_language",0,1,7.2,7.7,,8.2,7.9,0,5,,3.1,4.3,4,52.5,4,5,4,4,,5,3,2,3,5,,,,,,2,3,4,4,3,3,3,3,2,3,2,2,,,,,,,5,4,5,5,5,5,3,5,5,3,,,,,,5,4,4,4,4,4,5,4,4,5,1,0,1,1,1,1,1,1,1,0,1,0,,,,,1,0,1,0,1,"A"
206,"S03","C011","South","general",26,1.266,0.886,15.2,10,"girl",0.381,5,3,"majority_language",0,0,7.5,7.6,7.5,7.3,7.8,6,1,0,4.5,1.7,2,44.5,3,5,4,3,4,5,4,4,,,3,3,4,5,5,2,3,3,1,4,1,2,3,2,1,1,3,3,2,1,,,,5,4,5,4,4,5,4,5,5,,4,4,3,4,,3,3,4,4,3,,5,5,3,5,1,,1,1,1,1,0,1,1,0,1,1,0.657,-2.043,51.2,65.5,1,1,1,0,0,"C"
207,"S03","C011","South","general",26,1.266,0.886,15.9,10,"boy",1.998,5,5,"majority_language",0,0,8.9,9.2,8.2,6.8,6.4,3,1,5,5.6,1.9,3,51.2,5,5,5,4,4,5,4,5,4,1,5,3,4,5,4,3,3,3,1,2,2,2,1,,4,1,2,2,1,1,3,1,2,3,1,1,4,1,,4,3,4,4,3,4,5,3,2,5,4,5,4,2,4,5,3,,4,1,1,1,1,1,1,1,1,0,0,0,1,0.647,0.52,66.4,49.8,1,1,0,0,0,"A"
208,"S03","C011","South","general",26,1.266,0.886,15.9,10,"boy",0.507,3,4,"majority_language",0,0,7.4,7.4,8.5,7.4,6.9,4,0,10,6.1,2.6,4,62.7,5,5,5,5,4,3,5,5,4,4,5,5,5,5,4,2,1,1,,1,1,1,1,2,,,,2,1,1,2,1,2,4,2,5,5,3,4,4,3,4,4,5,3,2,,,5,3,4,5,5,5,4,3,4,,1,1,1,,1,0,1,1,0,0,1,0,,,,,1,1,1,0,0,"B"
209,"S03","C011","South","general",26,1.266,0.886,15,10,"girl",0.195,3,2,"majority_language",0,0,7.8,7,7.5,8.4,7.7,2,1,6,7.2,2.8,2,57,5,4,5,4,4,4,5,5,5,3,2,3,3,4,2,1,2,2,1,3,2,2,1,1,1,1,2,1,2,4,2,2,2,5,5,4,5,2,5,5,3,3,2,5,4,4,2,,5,5,,5,5,4,3,2,3,3,1,1,1,1,1,1,1,1,0,0,1,,0.841,1.398,52,45.8,1,0,1,0,0,"A"
210,"S03","C011","South","general",26,1.266,0.886,15.8,10,"boy",1.108,5,5,"majority_language",0,0,8.3,7.9,,8.6,8.5,7,1,,8.8,1.5,4,62.2,5,5,3,5,5,5,5,5,5,5,,,,,,1,1,2,2,1,2,2,1,1,,,,,,,,,,4,3,3,3,3,3,4,5,3,3,,,,,,3,4,4,4,4,5,,3,,4,1,1,1,1,1,1,1,0,0,,1,0,0.693,-0.124,53.9,55.7,1,1,1,0,1,"B"
211,"S03","C011","South","general",26,1.266,0.886,15.2,10,"boy",0.367,3,2,"majority_language",0,0,6.8,7.7,6.8,7.2,7.4,0,5,0,9.2,1.1,2,55.4,4,3,2,4,1,4,4,5,5,4,5,5,5,4,5,3,3,2,4,1,2,2,1,1,,,,2,1,2,2,2,1,5,5,5,5,5,3,3,5,5,5,5,5,5,,,3,2,,3,3,5,5,5,5,4,1,1,1,1,1,1,1,1,1,0,1,1,0.714,0.04,46.2,47.1,1,1,1,0,0,"B"
212,"S03","C011","South","general",26,1.266,0.886,15.3,10,"boy",1.206,4,5,"majority_language",0,0,6.9,6.6,7.2,7.2,6,2,1,2,9.2,1.7,5,56.1,2,3,3,4,3,3,4,4,,,4,2,5,3,3,1,3,3,4,4,3,1,1,2,2,3,2,1,1,2,,,,3,4,5,3,5,4,5,5,4,4,2,4,3,1,4,5,4,5,5,5,5,4,4,5,4,0,1,1,1,1,0,1,0,0,0,0,0,0.816,-0.538,54.3,60.6,0,1,1,0,0,"C"
213,"S03","C011","South","general",26,1.266,0.886,16.1,10,"girl",1.033,5,3,"majority_language",0,0,9,8.2,8.3,7.5,7.6,3,0,1,5.1,2.3,2,49.6,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,2,1,1,1,,,,2,1,1,2,2,2,5,5,4,5,4,5,5,4,5,5,5,5,4,,,,4,5,3,5,5,3,5,,3,1,1,1,1,1,1,0,0,1,0,0,1,0.92,0.641,50.3,59.4,1,1,1,0,0,"B"
214,"S03","C011","South","general",26,1.266,0.886,15.4,10,"girl",1.434,3,5,"majority_language",0,0,8.2,7.6,8,8.5,7.3,2,4,2,6.4,3.1,1,47.8,2,4,4,3,2,5,4,4,,,4,4,5,5,4,3,2,3,5,2,1,2,1,1,2,1,3,4,1,1,,,,3,3,,3,4,3,4,4,4,4,5,4,4,3,5,4,4,5,5,4,5,4,4,5,3,1,0,1,1,0,1,1,1,1,0,0,0,0.842,2.566,58.2,58.8,1,1,1,0,0,"C"
215,"S03","C011","South","general",26,1.266,0.886,15.5,10,"boy",-0.167,3,3,"majority_language",0,0,7.6,7.3,8.4,7.3,7.5,1,0,5,5.4,0.8,3,57.5,5,5,4,4,4,4,5,4,4,5,5,5,4,5,4,2,2,2,4,3,1,2,3,1,2,1,2,1,1,1,3,1,1,4,5,4,4,4,3,4,4,4,5,5,4,4,3,4,3,3,3,2,1,5,4,5,4,3,1,1,1,1,1,1,0,1,1,1,1,1,0.823,0.297,57.8,59.6,0,0,0,0,0,"A"
216,"S03","C011","South","general",26,1.266,0.886,16,10,"girl",1.301,5,4,"majority_language",0,0,8.3,8.3,7.7,7.9,7.1,3,1,11,6.9,3.2,4,58.5,4,5,3,5,3,4,5,5,4,2,5,5,5,5,5,,3,1,2,3,2,3,3,2,3,2,1,3,4,3,3,3,3,5,4,2,4,4,4,2,4,4,5,5,5,4,4,3,5,5,5,5,5,4,3,5,3,4,1,1,1,1,1,0,1,,0,0,0,1,0.811,0.016,64.1,61.9,1,0,0,0,0,"A"
217,"S03","C011","South","general",26,1.266,0.886,15.6,10,"boy",0.258,3,4,"majority_language",0,0,7.1,7.4,8,6,6.5,0,5,7,6.1,1.9,5,50.7,4,4,5,4,4,2,2,4,,4,1,3,3,5,5,1,3,3,4,1,2,2,1,2,,,,2,3,3,3,2,1,4,5,5,2,4,3,1,2,3,2,4,3,3,,,5,4,5,5,5,4,4,4,4,4,1,1,1,1,1,0,0,1,0,1,0,0,0.544,-0.708,40.4,41.6,0,1,1,0,0,"B"
218,"S03","C011","South","general",26,1.266,0.886,15.5,10,"boy",0.739,3,2,"majority_language",0,0,9.7,8.8,8.2,8.9,8.8,2,1,0,6.5,2.7,5,64.1,5,5,3,4,5,5,5,4,5,4,5,5,3,4,4,1,2,1,1,1,2,1,1,1,,,,2,1,1,3,2,1,4,4,3,3,4,4,5,2,5,3,4,5,4,,,5,4,5,5,4,5,4,,,5,1,1,1,1,1,1,1,1,,0,1,1,0.916,1.528,76.1,72,1,1,1,0,0,"B"
219,"S03","C011","South","general",26,1.266,0.886,14.9,10,"girl",1.869,5,5,"majority_language",0,0,8.3,8.5,7.9,7,6.4,0,0,0,9.1,1.9,2,58.1,5,5,5,4,5,5,5,5,4,4,4,5,5,3,5,1,1,1,2,1,1,1,1,1,,,,1,1,1,1,3,1,3,3,5,4,3,2,3,4,5,3,4,4,4,,,5,4,5,4,5,4,,2,5,5,1,1,1,0,1,0,1,1,0,0,0,0,0.909,-0.15,57.5,57.7,1,1,1,0,0,"B"
220,"S03","C011","South","general",26,1.266,0.886,15.8,10,"girl",1.601,5,5,"majority_language",0,0,7.8,8.2,8.5,7.9,7.2,0,2,0,9.1,1.7,4,55.4,4,4,5,5,4,5,3,5,5,5,3,,3,4,5,3,1,3,1,1,2,1,2,,1,1,1,2,1,1,1,2,1,5,4,4,4,2,3,4,5,5,3,5,5,5,5,3,3,2,4,,4,3,3,2,4,4,1,1,0,1,1,1,1,1,0,1,0,0,0.864,-0.157,47.8,57.8,1,1,1,0,0,"A"
221,"S03","C011","South","general",26,1.266,0.886,15.4,10,"girl",0.088,3,3,"majority_language",0,0,7.8,7,7.6,7.3,7.3,2,3,2,9.3,2.5,4,53.1,5,4,5,4,5,3,2,3,2,4,4,5,5,5,4,1,1,1,1,2,1,2,1,1,1,3,1,1,1,2,1,4,3,5,4,,3,4,5,4,3,4,5,4,5,3,4,5,4,4,5,4,4,4,3,4,3,4,1,1,1,1,1,1,1,0,1,0,1,0,0.789,0.92,44.9,50.1,1,0,0,0,0,"A"
222,"S03","C011","South","general",26,1.266,0.886,16.2,10,"boy",-1.029,1,1,"majority_language",0,1,6.6,7.9,,6.8,6.3,2,11,,7.7,2.4,3,52.6,3,4,5,5,4,2,5,4,,,,,,,,5,3,5,3,4,3,2,2,,3,3,1,,,,,,,3,3,3,4,,5,4,3,3,3,,,,,,2,4,3,4,2,4,4,5,4,4,1,1,0,1,1,1,0,0,1,0,0,0,0.533,-0.253,42.5,39.8,1,1,1,0,1,"C"
223,"S03","C011","South","general",26,1.266,0.886,15.2,10,"boy",0.991,5,3,"majority_language",0,0,8,8.9,9.1,7.6,7.1,3,2,1,12,3.8,5,62.3,5,5,4,4,5,4,5,4,,,5,5,5,4,5,1,1,1,1,1,2,2,2,1,2,2,2,3,,1,,,,5,3,2,4,4,5,4,3,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,0,1,1,,1,0,0,0.832,-0.001,61.2,49.6,1,1,1,0,0,"C"
224,"S03","C011","South","general",26,1.266,0.886,15.7,10,"girl",0.143,4,3,"majority_language",0,0,7.8,7.1,8.7,8.9,8.2,1,1,3,8.6,3.3,5,52.8,,4,4,5,3,4,5,3,5,4,4,4,5,3,5,3,3,3,3,4,2,3,2,2,,,,2,3,3,3,3,2,4,3,5,2,2,3,4,3,3,2,3,2,5,,,4,5,4,5,3,,4,3,3,4,1,1,1,0,1,1,1,0,1,0,1,1,0.556,-0.593,47.9,54.2,1,1,1,0,0,"B"
225,"S03","C011","South","general",26,1.266,0.886,15.4,10,"girl",1.053,4,5,"majority_language",0,0,8.2,9.1,7.8,7.4,6.6,13,6,4,10.2,2.7,3,58.9,5,4,5,5,5,4,2,4,,,5,3,4,4,5,1,1,,5,1,4,1,3,3,4,2,3,2,2,3,,,,4,3,5,5,3,2,3,4,1,4,3,3,4,4,4,5,5,3,5,4,5,5,4,5,4,1,1,1,1,1,1,1,1,1,0,0,0,0.884,1.904,69.6,59.2,1,1,1,0,0,"C"
226,"S03","C011","South","general",26,1.266,0.886,15.5,10,"girl",-0.405,4,2,"majority_language",0,0,7,7.2,6.9,5.9,8.4,1,0,6,4.1,3.7,4,48.9,5,3,4,5,5,4,4,4,,,5,3,3,2,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1,2,,,,5,5,4,5,4,5,,4,4,4,5,5,4,4,4,5,3,3,2,4,4,3,3,5,5,1,1,1,1,1,,1,1,1,1,1,0,0.775,0.148,56.4,56.1,1,1,1,0,0,"C"
227,"S03","C011","South","general",26,1.266,0.886,15.2,10,"girl",1.104,4,5,"majority_language",0,0,9.1,9.2,7.9,7.9,8.5,1,3,0,10.2,1.1,5,60.8,5,5,5,5,5,2,5,4,5,5,4,4,5,5,4,1,2,1,2,1,,1,2,2,,,,1,1,1,,1,2,4,5,4,4,4,4,5,5,3,4,5,5,5,,,3,5,4,4,4,5,,2,4,5,1,1,1,1,1,1,1,1,1,1,0,1,0.873,1.801,68,61.5,1,1,1,0,0,"B"
228,"S03","C012","South","general",23,1.266,0.227,17.1,12,"girl",0.801,5,5,"majority_language",0,0,7.4,7.4,6.6,7.1,8.1,9,5,6,5,1.6,4,47.9,2,3,4,4,2,5,4,5,5,5,5,5,3,4,4,3,4,5,4,,4,2,3,5,,,,2,4,2,3,2,1,4,3,,5,1,3,3,2,4,3,3,2,2,,,4,,4,4,3,3,2,2,2,2,,1,1,1,1,0,0,1,1,0,0,0,0.943,0.425,67.8,50.5,1,1,1,0,0,"B"
229,"S03","C012","South","general",23,1.266,0.227,17.5,12,"girl",0.302,4,3,"majority_language",0,0,8.3,7.4,7.3,7.5,6.5,6,2,5,7.9,1.9,3,54.2,5,5,4,,5,2,4,4,,,4,4,2,3,5,4,2,2,,3,1,,2,1,1,1,1,2,1,3,,,,4,,3,4,4,3,5,5,5,,3,4,4,3,2,5,5,5,4,4,5,5,3,4,4,1,0,,1,1,,1,0,0,0,0,0,0.787,-0.68,33,41.1,1,1,1,0,0,"C"
230,"S03","C012","South","general",23,1.266,0.227,17.8,12,"girl",-0.09,3,2,"majority_language",0,0,7.5,6.8,,7.3,6,0,3,,8.2,2.7,3,58.8,5,5,5,3,5,4,5,5,4,4,,,,,,,2,2,4,1,3,3,3,4,2,2,,,,,,,,2,3,4,1,3,3,3,3,1,2,,,,,,5,4,4,5,4,2,3,3,4,3,1,1,1,1,0,0,1,1,0,0,0,0,0.843,1.957,63.4,60.7,1,1,1,0,1,"A"
231,"S03","C012","South","general",23,1.266,0.227,17.2,12,"boy",0.919,5,5,"majority_language",0,0,7.5,7.1,,8.2,8,4,4,,8.5,6.1,3,42.3,4,4,5,3,4,4,4,4,,2,,,,,,4,,1,3,1,3,4,4,2,4,1,2,,,,,,,5,4,4,5,4,5,3,5,3,3,,,,,,2,4,4,3,2,4,3,2,3,2,1,0,1,1,1,1,0,1,1,1,1,0,0.636,-1.345,47.2,36.5,1,1,1,0,1,"A"
232,"S03","C012","South","general",23,1.266,0.227,17,12,"girl",0.232,2,2,"majority_language",1,0,7.1,7.1,7.3,7.3,6.8,0,4,9,3.5,2,1,50.8,3,2,2,4,2,5,3,4,,,5,,3,2,4,2,2,1,2,1,3,1,1,3,1,1,1,1,3,4,,,,5,3,4,5,2,3,3,5,4,4,,4,4,3,4,3,2,3,4,2,3,3,4,4,3,1,1,1,1,0,1,1,1,1,0,0,0,0.852,0.727,46.1,45.8,0,1,1,0,0,"C"
233,"S03","C012","South","general",23,1.266,0.227,16.9,12,"girl",2.168,5,5,"majority_language",0,0,7.5,7.4,7,7.4,7.9,3,1,0,10.4,1.5,4,67.7,5,4,5,5,3,4,5,5,5,4,4,5,5,5,5,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,3,5,5,5,5,3,5,4,5,4,5,4,5,4,5,4,4,4,3,4,3,4,3,3,2,4,1,1,1,1,0,1,1,1,0,0,0,0,0.815,0.129,37.7,44.4,0,0,0,0,0,"A"
234,"S03","C012","South","general",23,1.266,0.227,17,12,"girl",-0.357,5,4,"majority_language",0,0,6.6,7,6.3,7.2,5.8,18,3,8,4.9,2.9,3,38.5,3,3,5,2,4,3,4,4,3,4,4,5,4,4,5,5,3,3,,2,3,3,3,5,,2,4,4,5,4,2,3,4,2,2,3,3,3,4,4,4,4,4,3,4,3,2,2,3,4,2,4,4,,4,3,3,5,1,0,1,0,0,0,1,0,0,0,0,0,0.702,-0.499,57,47.7,1,1,0,0,0,"A"
235,"S03","C012","South","general",23,1.266,0.227,18,12,"girl",-0.131,4,1,"majority_language",0,0,7.8,8.6,8.2,7.8,6.9,2,3,2,5.5,1.7,3,57.4,,3,3,4,3,4,5,5,4,5,5,4,5,4,5,2,1,2,1,2,1,1,1,2,,,,1,2,1,1,2,1,4,,5,3,3,,3,,3,2,5,5,3,,,5,5,5,4,5,3,4,4,3,3,1,1,1,0,0,0,1,1,0,1,0,0,0.774,0.256,44.7,67.6,1,1,1,0,0,"B"
236,"S03","C012","South","general",23,1.266,0.227,17.3,12,"girl",0.932,5,5,"majority_language",0,0,7.4,8.3,9,6.5,7.5,3,4,2,7.7,2.3,4,57,5,5,5,5,3,,5,5,5,4,4,4,5,4,4,2,2,2,1,2,,3,1,2,,,,2,2,2,3,2,1,5,5,4,5,5,4,4,4,4,4,5,4,3,,,,2,,2,4,4,3,4,3,4,1,1,1,1,1,1,1,0,1,0,1,0,0.813,0.736,53,69,1,1,1,0,0,"B"
237,"S03","C012","South","general",23,1.266,0.227,16.9,12,"girl",0.294,5,4,"majority_language",1,0,7.4,7.2,,6.9,7.7,0,2,,8,1.6,3,53.3,5,5,5,5,5,5,4,4,,,,,,,,2,3,1,3,3,4,2,3,2,1,3,,,,,,,,2,2,1,4,3,3,5,2,2,1,,,,,,5,5,5,5,4,3,4,3,5,4,,1,,1,1,1,1,0,1,0,1,1,0.95,0.438,66,61.5,1,1,1,0,1,"C"
238,"S03","C012","South","general",23,1.266,0.227,17.6,12,"boy",1.395,5,4,"majority_language",1,0,7.9,7,7.7,7.7,8.5,3,3,0,9.1,1,4,56.1,4,5,,5,5,5,5,5,5,5,5,4,4,4,4,3,2,4,1,2,2,3,1,1,,,,3,2,2,1,3,2,4,4,3,1,2,5,3,4,2,4,5,4,5,,,5,5,5,3,4,5,5,5,4,4,1,1,1,,1,1,1,0,1,1,0,0,0.929,1.458,44.6,37.4,1,1,1,0,0,"B"
239,"S03","C012","South","general",23,1.266,0.227,17.8,12,"girl",-1.424,1,1,"majority_language",0,0,7.3,7.8,7.8,7.1,8.2,0,1,12,7.3,5.9,1,57.2,2,3,4,4,2,2,5,4,4,3,2,5,5,3,5,1,3,3,4,2,2,1,2,1,,,,1,2,2,2,1,2,3,3,3,4,4,4,4,,4,5,5,5,5,,,4,4,4,2,4,5,5,,3,,1,0,1,1,1,0,1,0,0,0,0,0,0.826,1.206,58.7,54.8,1,1,1,0,0,"B"
240,"S03","C012","South","general",23,1.266,0.227,17.3,12,"another_or_no_answer",0.682,5,5,"majority_language",0,0,7.9,8.6,,6.3,8.6,3,7,,11.8,4.3,4,52.7,5,5,4,5,,3,5,4,4,5,,,,,,2,2,3,3,3,3,3,1,3,2,1,2,,,,,,,4,,3,5,3,5,4,2,5,4,,,,,,5,3,4,4,3,4,5,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0.939,0.698,42.1,54.9,1,0,1,0,1,"A"
241,"S03","C012","South","general",23,1.266,0.227,17.8,12,"girl",0.735,4,2,"majority_language",0,0,7.7,7.4,7.8,8.7,7.5,4,0,10,7.5,2.7,4,50.8,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,1,1,1,2,1,,2,2,,,,1,1,3,2,3,3,4,5,4,2,3,4,3,3,3,2,4,4,3,,,5,5,2,4,3,2,2,4,4,3,1,1,1,0,,1,1,1,1,1,1,0,0.804,-0.162,51.9,63.6,1,1,1,0,0,"B"
242,"S03","C012","South","general",23,1.266,0.227,16.9,12,"boy",1.931,5,5,"majority_language",1,0,8.6,8,9,7.1,7.8,0,2,1,10.5,2.2,5,52.1,5,4,5,5,4,5,5,5,5,5,5,4,5,5,3,2,1,1,2,3,1,2,1,2,1,1,1,1,1,1,1,3,1,5,5,4,5,5,4,3,3,5,4,5,5,3,3,3,4,5,4,5,5,3,4,3,3,4,1,1,1,1,1,1,1,0,1,1,1,0,0.961,1.241,62.5,62.6,0,0,0,0,0,"A"
243,"S03","C012","South","general",23,1.266,0.227,17.5,12,"girl",1.435,5,5,"majority_language",1,0,7.7,7.5,8,8.6,7.6,0,1,2,5.5,2.5,1,46.7,5,5,2,4,4,5,5,4,4,,4,4,4,5,5,2,2,2,2,1,1,2,2,3,,,,4,3,4,2,2,3,3,3,5,2,3,2,3,4,3,2,1,1,2,,,3,2,3,4,2,2,3,4,2,2,1,1,1,1,1,1,1,1,,0,1,1,0.869,2.124,61.6,49.7,1,1,1,0,0,"B"
244,"S03","C012","South","general",23,1.266,0.227,17.2,12,"boy",2.814,5,5,"majority_language",0,0,9.1,8,7.6,8.6,6.9,4,1,1,10.8,2.4,5,69.6,,5,4,5,5,5,3,4,,,5,5,4,4,5,2,1,1,1,2,3,2,1,2,3,3,3,4,2,3,,,,4,3,2,3,3,4,5,4,3,4,4,4,3,5,4,5,5,5,5,5,,4,2,3,4,1,1,1,1,1,1,0,1,0,1,1,0,0.918,1.578,64.1,61.4,1,1,1,0,0,"C"
245,"S03","C012","South","general",23,1.266,0.227,17.9,12,"girl",0.977,,3,"majority_language",0,0,6.9,6.3,6.8,6.8,7.6,2,3,2,6,1.7,1,57.2,5,4,3,4,3,,4,5,4,3,2,4,3,4,3,4,4,1,2,,3,1,1,3,3,3,3,2,2,2,3,2,1,,4,3,5,3,2,4,2,2,1,4,5,4,3,3,5,5,5,5,4,4,4,4,5,3,1,1,1,1,1,1,1,0,1,0,0,0,0.64,-0.16,47.6,33.5,1,1,0,0,0,"A"
246,"S03","C012","South","general",23,1.266,0.227,17.8,12,"girl",-0.488,4,1,"majority_language",0,0,7.4,6.9,,8,7.3,4,5,,9,2.2,1,45.5,4,5,3,4,5,4,5,5,,,,,,,,3,4,5,2,5,,3,3,3,4,3,2,,,,,,,4,2,4,3,3,3,2,2,1,1,,,,,,3,5,5,4,,5,2,5,3,4,1,1,1,1,1,0,1,1,0,1,1,0,0.924,-0.205,66.7,46.7,1,1,1,0,1,"C"
247,"S03","C012","South","general",23,1.266,0.227,17.8,12,"boy",0.915,5,5,"majority_language",0,1,7.5,7.5,,7.8,7.2,4,0,,7.7,3.3,3,53.8,4,5,3,5,3,2,5,3,4,5,,,,,,2,,3,3,4,2,,2,4,5,1,,,,,,,,3,4,3,,3,4,4,3,3,4,,,,,,4,3,2,4,3,4,,2,2,4,1,1,1,1,1,1,1,,1,1,1,0,0.881,-0.555,50,44.9,1,1,1,0,1,"A"
248,"S03","C012","South","general",23,1.266,0.227,17.5,12,"girl",1.703,5,5,"majority_language",1,0,8.2,8.9,8.8,8.4,7.9,0,1,1,9.4,2.6,2,60.8,5,4,5,4,4,5,5,4,4,5,5,5,5,5,5,2,1,1,3,2,4,,1,3,1,1,1,3,1,1,2,1,1,3,2,5,5,4,4,5,5,5,,3,4,5,4,5,5,3,5,5,5,4,4,5,4,4,1,1,1,1,1,1,1,1,1,0,1,0,0.709,1.361,61.2,46.1,0,1,0,0,0,"A"
249,"S03","C012","South","general",23,1.266,0.227,17.1,12,"girl",0.667,4,3,"majority_language",0,0,7.3,7.4,7.1,6.9,7.2,0,1,1,4.1,2.6,5,45.9,3,3,3,4,4,3,3,4,,,2,2,4,5,4,2,3,2,1,3,1,2,3,3,2,4,1,1,2,2,,,,4,,5,5,4,4,5,4,5,4,4,4,4,5,3,5,4,4,5,4,2,5,4,5,3,0,1,1,1,1,1,1,1,0,1,1,1,0.801,-0.8,49.7,37.5,1,1,1,0,0,"C"
250,"S03","C012","South","general",23,1.266,0.227,17.2,12,"boy",1.013,3,3,"majority_language",0,0,7.3,,,6.8,7.5,6,,,5.2,2.6,1,47.9,2,5,2,2,2,,,,,,,,,,,1,3,2,2,3,2,,,,,,,,,,,,,5,5,5,3,,,,,,,,,,,,4,5,5,4,4,5,4,4,4,4,1,0,0,1,1,1,0,1,0,0,0,0,0.861,-0.163,39.7,48.2,1,1,1,1,1,"C"
251,"S04","C013","South","vocational",22,-1.497,-3.053,15.6,10,"girl",0.086,3,3,"majority_language",0,0,6.8,6.4,,7.1,6.8,1,7,,9.6,2.3,3,44.2,5,5,5,5,5,3,4,2,4,,,,,,,2,1,2,1,3,1,2,1,1,2,1,2,,,,,,,3,4,4,2,,3,2,3,5,4,,,,,,2,2,2,3,1,3,2,1,3,2,0,0,1,0,0,0,0,0,0,,1,0,0.754,-0.291,46.8,38.6,1,1,1,0,1,"A"
252,"S04","C013","South","vocational",22,-1.497,-3.053,15.7,10,"boy",-0.24,3,1,"majority_language",1,0,6.7,6.4,5.4,6.2,5.5,1,3,14,0,1.3,2,40.8,2,4,,2,2,1,2,,,,2,2,1,1,,2,1,1,4,5,2,4,3,1,3,5,3,3,1,3,,,,1,1,1,1,,3,2,1,2,1,1,,1,2,2,2,2,2,2,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.75,-0.238,42.1,37.2,1,1,1,0,0,"C"
